year,month,data_mean_global,data_mean_nh,value
1968,6,322.99697285560796,324.230005449935,321.76394026127997
1968,7,321.403523978703,320.910117242083,321.896930715324
1968,8,319.97511105312003,318.09586969046796,321.85435241577096
1968,9,320.089579114701,318.433946214586,321.745212014816
1968,10,321.295885102465,320.81586898919,321.77590121573996
1968,11,322.438566055925,322.947470745738,321.929661366112
1968,12,323.166815115776,324.349794091455,321.983836140097
1969,1,323.70408176354,325.276973187185,322.131190339895
1969,2,324.104226883707,325.960533310869,322.247920456545
1969,3,324.441910442258,326.587394166849,322.29642671766703
1969,4,324.672460075799,327.064551004392,322.280369147206
1969,5,324.554057431315,326.786573607262,322.32154125536704
1969,6,323.73559269515204,325.003981985479,322.467203404825
1969,7,322.147097844051,321.68648980265704,322.607705885444
1969,8,320.751971279346,318.90916910396703,322.594773454725
1969,9,320.925820017222,319.310801851576,322.540838182867
1969,10,322.216089805207,321.781531664304,322.650647946111
1969,11,323.459518816058,324.019146431237,322.899891200878
1969,12,324.29865681677,325.53585790586897,323.061455727672
1970,1,324.954121686211,326.58481981245,323.323423559973
1970,2,325.46783478157903,327.383268769603,323.552400793556
1970,3,325.911874423938,328.116755450722,323.70699339715304
1970,4,326.236261889243,328.68627693831,323.78624684017603
1970,5,326.190854972387,328.476328752653,323.905381192121
1970,6,325.419873072255,326.733212069035,324.106534075476
1970,7,323.855087912379,323.434499626417,324.27567619834
1970,8,322.454777067006,320.653447376388,324.256106757625
1970,9,322.581977226782,321.01058128639596,324.153373167168
1970,10,323.788689709814,323.400773328889,324.176606090738
1970,11,324.91713830904996,325.5269765831,324.307300034999
1970,12,325.616979638326,326.90566004028096,324.328299236371
1971,1,326.112757916749,327.789181323941,324.436334509557
1971,2,326.464110733593,328.423422990358,324.50479847682703
1971,3,326.747180380383,328.993622999693,324.500737761073
1971,4,326.920292884364,329.408774070338,324.43181169839
1971,5,326.740262504896,329.05954606168,324.420978948113
1971,6,325.859897381346,327.201030832691,324.518763930001
1971,7,324.222422335423,323.826761886518,324.618082784328
1971,8,322.794502593468,321.019859460237,324.569145726698
1971,9,322.943380057906,321.400740836379,324.486019279433
1971,10,324.221361268059,323.864660412176,324.578062123942
1971,11,325.462898733938,326.106656808167,324.81914065971
1971,12,326.31039303023204,327.634669703463,324.986116357001
1972,1,326.982164322566,328.694870888287,325.269457756846
1972,2,327.530062123857,329.526025566826,325.534098680888
1972,3,328.02412277923503,330.307103844428,325.741141714042
1972,4,328.416115292133,330.940224992038,325.892005592227
1972,5,328.454916734515,330.807321064948,326.102512404082
1972,6,327.78706892532,329.15742431933603,326.416713531305
1972,7,326.35246245165,325.984697465104,326.720227438195
1972,8,325.111290376805,323.367300120867,326.855280632743
1972,9,325.420782713756,323.911872588817,326.929692838696
1972,10,326.83126050820704,326.511762801416,327.150758214998
1972,11,328.17682850472903,328.86151505299,327.492141956469
1972,12,329.10037410961496,330.468252478007,327.732495741224
1973,1,329.825969933892,331.587624679835,328.064315187949
1973,2,330.396360655181,332.442749757464,328.349971552897
1973,3,330.887553100128,333.22148032021903,328.553625880038
1973,4,331.252799642467,333.826789158354,328.678810126581
1973,5,331.239713466325,333.637750787112,328.841676145538
1973,6,330.496898414977,331.905870964828,329.087925865125
1973,7,328.972143548678,328.637618544515,329.306668552841
1973,8,327.627294219017,325.91581420912496,329.33877422891004
1973,9,327.813800837448,326.33730581212,329.290295862776
1973,10,329.085276088108,328.798890233757,329.371661942459
1973,11,330.276616525634,330.995611844687,329.557621206582
1973,12,331.033010691027,332.43430050351003,329.63172087854304
1974,1,331.569855655491,333.350553796508,329.78915751447397
1974,2,331.959225276068,334.02064804912004,329.897802503016
1974,3,332.268389658409,334.613805652517,329.92297366430097
1974,4,332.45345347030104,335.036157623234,329.870749317368
